"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000187608.10",0.0167201038591686,0.0216449077087268,2.93468496832229,0.00737554727078622,0.994115218059295,NA
"ENSG00000231702.2",0.258624386080945,0.713655007066772,0.79283023624086,0.900135961577991,0.368047900379507,NA
"ENSG00000224969.1",0.457987401397808,2.15179267938356,0.748687052471895,2.87408827530691,0.00405195693055344,0.0583242692166182
"ENSG00000188157.15",0.0155203262558364,-0.177345369455207,2.93468496832229,-0.060430803091138,0.951812526161153,NA
"ENSG00000242590.1",0,NA,NA,NA,NA,NA
"ENSG00000217801.10",0.0612263474465558,0.121134777237025,1.98834241953661,0.060922493050898,0.951420935851716,NA
"ENSG00000273443.1",0.0171506634798849,0.0216449077087265,2.93468496832229,0.00737554727078611,0.994115218059295,NA
"ENSG00000237330.3",0,NA,NA,NA,NA,NA
"ENSG00000131591.17",0,NA,NA,NA,NA,NA
"ENSG00000285812.1",0,NA,NA,NA,NA,NA
"ENSG00000223823.1",0,NA,NA,NA,NA,NA
"ENSG00000207730.3",0,NA,NA,NA,NA,NA
"ENSG00000207607.3",0,NA,NA,NA,NA,NA
"ENSG00000198976.1",0,NA,NA,NA,NA,NA
"ENSG00000272141.1",0.0173739236960263,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000205231.1",0.017354102341842,0.0216449077087263,2.93468496832229,0.00737554727078606,0.994115218059295,NA
"ENSG00000162571.13",0.0414300640374695,-0.177349434395474,2.44910468091214,-0.0724139869470269,0.9422724540435,NA
"ENSG00000186891.14",0,NA,NA,NA,NA,NA
"ENSG00000186827.11",0.0137462141573972,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000078808.17",0.0644730978213811,-0.0778567489795323,1.96999460768701,-0.0395213005536825,0.968474771395771,NA
"ENSG00000176022.7",0,NA,NA,NA,NA,NA
"ENSG00000184163.3",0.0352761865552125,-0.276840722263707,2.93468496832229,-0.0943340512702364,0.924843801508881,NA
"ENSG00000260179.1",0.0147373856283358,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000160087.20",0.0344613694677671,-0.0778504450997736,2.93468496832229,-0.0265277009083123,0.97883643924044,NA
"ENSG00000230415.1",0.0157073055018561,0.0216449077087263,2.93468496832229,0.00737554727078606,0.994115218059295,NA
"ENSG00000162572.21",0.0179550606728398,0.0216449077087264,2.93468496832229,0.00737554727078608,0.994115218059295,NA
"ENSG00000131584.19",0.167484714961398,0.519116010213456,0.961305273310935,0.540011611946653,0.589189024440028,NA
"ENSG00000278073.1",0,NA,NA,NA,NA,NA
"ENSG00000169972.12",2.97344515733651,0.0281881148693146,0.272043360506491,0.103616257411443,0.917473885562931,0.974407837213122
"ENSG00000127054.20",5.83398532591706,-0.236764219513925,0.185254299558126,-1.2780497946804,0.201231869438934,0.588426255409628
"ENSG00000283712.1",0,NA,NA,NA,NA,NA
"ENSG00000240731.1",0.863120313005397,-0.374192525471761,0.464150763814566,-0.806187460290932,0.420134767971379,0.788379301781829
"ENSG00000224051.7",0.741215861575297,0.351317066841116,0.529148927585583,0.663928524704976,0.506736058544736,0.827588303303906
"ENSG00000169962.5",3.21564776326823,-0.389066986483215,0.274426569304722,-1.41774532789934,0.156265131158046,0.524316542178145
"ENSG00000107404.20",0.34423331859116,0.122216373684676,0.677564790402231,0.180375921854091,0.856857455863941,NA
"ENSG00000284372.1",0,NA,NA,NA,NA,NA
"ENSG00000162576.16",12.7111580165334,0.0476673452697258,0.176604807437396,0.269909669852125,0.787229747721428,0.937478876832608
"ENSG00000175756.13",0.0630448162458639,-0.0778567101272457,1.97791980545026,-0.0393629255911728,0.96860103807954,NA
"ENSG00000223663.2",0.0651119058714228,-0.276848223457577,1.96652094027991,-0.140780714706334,0.888043178752572,NA
"ENSG00000221978.12",0.0363778736996648,-0.276840727481444,2.93410775485741,-0.0943526109506832,0.924829058782637,NA
"ENSG00000224870.7",25.0093908048148,-0.0111208827459072,0.104442494130808,-0.106478525225365,0.915202692924045,0.973061295473235
"ENSG00000242485.6",0.516846204968075,0.190198467862476,0.580588967684809,0.327595732004558,0.743217349388478,0.921925367335859
"ENSG00000264293.2",0,NA,NA,NA,NA,NA
"ENSG00000272455.1",0,NA,NA,NA,NA,NA
"ENSG00000235098.8",0.0855788709080027,-0.376345773056618,1.6680874526502,-0.225615133342496,0.821500769605245,NA
"ENSG00000225905.1",0,NA,NA,NA,NA,NA
"ENSG00000205116.3",0.0164064545081853,0.0216449077087265,2.93468496832229,0.00737554727078611,0.994115218059295,NA
"ENSG00000225285.1",0.0330327979988634,0.121139832064159,2.93468496832229,0.0412786494536117,0.967073753828363,NA
"ENSG00000179403.12",0.0308717384124793,-0.0778504450997736,2.93468496832229,-0.0265277009083123,0.97883643924044,NA
"ENSG00000215915.10",0.0313982776653287,-0.276840722263707,2.93468496832229,-0.0943340512702364,0.924843801508881,NA
"ENSG00000160072.20",0.0163126941396948,0.0216449077087264,2.93468496832229,0.00737554727078608,0.994115218059295,NA
"ENSG00000284740.1",0,NA,NA,NA,NA,NA
"ENSG00000197785.14",0.0468052012603397,0.220632164383769,2.38986970862893,0.0923197459623627,0.92644400035502,NA
"ENSG00000205090.9",0,NA,NA,NA,NA,NA
"ENSG00000160075.12",0.0969377469369661,0.121132888810276,1.46969885649976,0.0824202102863211,0.9343125652405,NA
"ENSG00000215014.5",0,NA,NA,NA,NA,NA
"ENSG00000274481.1",0,NA,NA,NA,NA,NA
"ENSG00000228594.4",0,NA,NA,NA,NA,NA
"ENSG00000286989.1",0,NA,NA,NA,NA,NA
"ENSG00000272106.1",0.235611323459049,-0.376349259363956,0.821126043382802,-0.458333117548562,0.646713134620602,NA
"ENSG00000197530.12",0.432368504752535,0.221712005900388,0.647461318038943,0.342432821426179,0.732025191892412,0.91822690054364
"ENSG00000189409.14",0,NA,NA,NA,NA,NA
"ENSG00000248333.8",0.146167381638974,0.220627891361519,1.05621561655703,0.2088852767399,0.834537798091541,NA
"ENSG00000272004.1",4.82695864132899,-0.214971087422877,0.296055164986139,-0.726118348358967,0.467766221700988,0.811996973025604
