"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000098401.1",0.0523328718080587,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000104965.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000036513.15",0.055823659753608,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000105389.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000074591.8",0,NA,NA,NA,NA,NA
"ENSMUSG00000106635.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104623.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000036503.13",0.422516606003496,0.963228779820692,1.32708862291263,0.725820991296456,0.467948516711605,0.984745990032404
"ENSMUSG00000106421.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000106006.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027805.16",1.50408524360507,1.55843523741296,0.783906519123189,1.9880370929382,0.0468075877607099,0.984745990032404
"ENSMUSG00000088570.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104730.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000105003.1",1.52690627258811,0.491340904608776,0.749671329502114,0.655408424029094,0.512204829199896,0.984745990032404
"ENSMUSG00000106246.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000105065.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000069008.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000104586.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100666.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000065722.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000106176.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000105154.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027806.9",0.708521805715844,1.93291343121889,1.24695535264703,1.55010636677225,0.121115988168503,0.984745990032404
"ENSMUSG00000027808.8",0.929541586939015,-0.654640519030168,0.928176137947985,-0.705297725577658,0.480624975584336,0.984745990032404
"ENSMUSG00000027810.14",0.121450122473689,-0.0875597818525925,2.72708231263529,-0.0321074950495278,0.974386326308151,0.984745990032404
"ENSMUSG00000106553.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000075700.9",0.928453542882409,-1.55644807848699,0.983883230172899,-1.58194390427152,0.113662376960014,0.984745990032404
"ENSMUSG00000070471.3",0.103931898036261,-0.0875589168823496,2.85985451046255,-0.0306165633818162,0.975575332673568,0.984745990032404
"ENSMUSG00000105021.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000105336.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000036432.8",0,NA,NA,NA,NA,NA
"ENSMUSG00000097725.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000105226.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000101860.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000043850.15",0,NA,NA,NA,NA,NA
"ENSMUSG00000087815.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088152.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000059776.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000099052.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000105945.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000056476.13",8.56705453154616,0.526443918134799,0.315978309395435,1.66607612763689,0.0956982526426469,0.984745990032404
"ENSMUSG00000050075.8",0,NA,NA,NA,NA,NA
"ENSMUSG00000036381.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000051431.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000036362.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000036353.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000104550.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000036334.12",1.6518262171012,0.295939064035474,0.75379901895514,0.392596775259383,0.69461732168431,0.984745990032404
"ENSMUSG00000103668.1",0.178661902573271,-0.44823562413344,2.07757620069179,-0.215749306323487,0.829183165298992,0.984745990032404
"ENSMUSG00000102247.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102550.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103211.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104038.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103598.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000095128.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000102480.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000090527.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000104471.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102390.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103986.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000074589.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000102757.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000095522.2",0.054915132568737,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000036951.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000070465.9",0,NA,NA,NA,NA,NA
"ENSMUSG00000091376.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103177.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027761.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000027762.6",0,NA,NA,NA,NA,NA
"ENSMUSG00000084647.1",0.076001266038737,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000107270.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027763.13",8.24097686758511,-0.12433021473368,0.32086179363297,-0.387488374125027,0.698394690119849,0.984745990032404
"ENSMUSG00000104235.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104125.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104337.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102298.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103587.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102490.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027694.9",0.055823659753608,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000102564.1",13.8318487188771,-0.0104416242830209,0.264095238060071,-0.0395373440268008,0.968461980553449,0.984745990032404
"ENSMUSG00000027765.6",0.114704142782794,0.633781102314891,2.77492701020191,0.228395593824566,0.819338714559842,0.984745990032404
"ENSMUSG00000102242.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102667.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103473.1",0.0676318742427935,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000036894.3",0.499674199297968,0.583247371298802,1.2428381325986,0.469286672174528,0.638864740491901,0.984745990032404
"ENSMUSG00000053706.2",10.5226302534559,0.208787431688608,0.307060286015722,0.679955830165278,0.496532429039963,0.984745990032404
"ENSMUSG00000098208.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104489.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103322.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103502.1",0.90826645061516,0.546989114744738,0.956645936390769,0.571778015185448,0.567472373253259,0.984745990032404
"ENSMUSG00000036885.14",0.238450912787328,0.633779312649891,1.71089695487291,0.370436869879736,0.711057006436946,0.984745990032404
"ENSMUSG00000027770.5",0.0515990262282025,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000043441.5",0,NA,NA,NA,NA,NA
"ENSMUSG00000103764.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000063001.10",0,NA,NA,NA,NA,NA
"ENSMUSG00000089175.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102270.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027820.12",0,NA,NA,NA,NA,NA
"ENSMUSG00000104336.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103476.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102883.1",0.498428296256852,-0.769783747479046,1.31681138290685,-0.584581632169489,0.55882906115679,0.984745990032404
"ENSMUSG00000088957.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000036834.16",0,NA,NA,NA,NA,NA
"ENSMUSG00000088360.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000090131.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000085290.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103905.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000048581.12",0,NA,NA,NA,NA,NA
"ENSMUSG00000027822.16",0.107842694509893,-0.0875591302116591,2.82768789470224,-0.0309649202713298,0.975297515817282,0.984745990032404
"ENSMUSG00000097724.2",13.3030841758835,-0.0066139559495334,0.268571814430868,-0.0246263963459794,0.98035296444229,0.987537345899375
"ENSMUSG00000027823.9",0.06546129735879,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000090303.3",0.155918500430332,-0.448235121371002,2.15537235168933,-0.207961803453443,0.835258791719987,0.984745990032404
"ENSMUSG00000027824.5",0,NA,NA,NA,NA,NA
"ENSMUSG00000089039.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000043897.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000093447.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093416.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000091572.9",0,NA,NA,NA,NA,NA
"ENSMUSG00000088735.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093503.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000091967.5",0,NA,NA,NA,NA,NA
"ENSMUSG00000092049.9",0,NA,NA,NA,NA,NA
"ENSMUSG00000093395.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093546.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093671.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000094482.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000068999.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000090581.9",0,NA,NA,NA,NA,NA
"ENSMUSG00000093699.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093484.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000095107.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093434.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000097538.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000062200.14",0,NA,NA,NA,NA,NA
"ENSMUSG00000093474.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088824.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093767.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000027827.17",0.455224518309959,1.19008488550775,1.22039283313557,0.97516541657333,0.329478213762332,0.984745990032404
"ENSMUSG00000104093.1",4.84296034282112,-0.45235285059956,0.444724441076442,-1.01715311509449,0.309080595900169,0.984745990032404
"ENSMUSG00000090120.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027828.12",0.164064812577679,0.27310813131647,2.12590929960771,0.128466502012511,0.897779806051248,0.984745990032404
"ENSMUSG00000048916.7",0,NA,NA,NA,NA,NA
"ENSMUSG00000103513.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103880.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000074580.11",4.01227652248528,0.111548597592672,0.489688948289413,0.227794803175229,0.819805766961247,0.984745990032404
"ENSMUSG00000087825.1",0.051986602394071,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000034640.9",0.12343293295276,-0.0875598672515982,2.7136212964249,-0.032266796906022,0.974259287640344,0.984745990032404
"ENSMUSG00000082280.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000103294.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000098944.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000074579.14",0,NA,NA,NA,NA,NA
"ENSMUSG00000104037.1",0.0646690879955103,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000065330.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103620.1",0.217672959647367,-0.808908338610989,2.01135656710319,-0.402170530994414,0.687558528323749,0.984745990032404
"ENSMUSG00000103440.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102566.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027829.15",0.408642277228315,0.849907549008707,1.57197608150533,0.540661883477789,0.588740655352067,0.984745990032404
"ENSMUSG00000103041.1",5.76076817860179,0.782518627255009,0.409185984397838,1.91237886216111,0.0558276172117719,0.984745990032404
"ENSMUSG00000102914.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102652.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103641.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103369.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027831.9",0,NA,NA,NA,NA,NA
"ENSMUSG00000104189.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000064522.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104307.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000097968.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103208.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027832.5",11.1092409195272,-0.277591159192694,0.27745889137252,-1.00047671141307,0.31707986243966,0.984745990032404
"ENSMUSG00000117623.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103600.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103700.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103318.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000105794.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027833.16",0.482694256146803,0.554599167907864,1.31639463715301,0.421301600792985,0.673534861451194,0.984745990032404
"ENSMUSG00000034544.17",0.797534073059376,-0.801611347979624,1.06825061041529,-0.750396339739036,0.453016034772094,0.984745990032404
"ENSMUSG00000065245.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000090408.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000048416.15",0.726387560059708,0.665729873663905,1.08902496702064,0.611308182846544,0.540995574756025,0.984745990032404
"ENSMUSG00000027774.16",3.40943333362058,-0.237571334489125,0.480528079103265,-0.494396362710933,0.621026282269329,0.984745990032404
"ENSMUSG00000047557.2",0.287090481447262,-0.0875658016072016,1.64029975365792,-0.0533840241162795,0.957425933969469,0.984745990032404
"ENSMUSG00000103703.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000049404.7",0.119618476636864,-0.0875597013610266,2.73970924622203,-0.0319594867527525,0.974504359267935,0.984745990032404
"ENSMUSG00000103718.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104382.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000077459.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027775.9",0.051986602394071,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000103206.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103606.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102746.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104477.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000051777.6",0,NA,NA,NA,NA,NA
"ENSMUSG00000102422.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027777.15",0.3453141444842,-0.0875669208935127,1.37959264142806,-0.0634730269384952,0.949389837307192,0.984745990032404
"ENSMUSG00000102846.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103345.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000084617.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027776.12",0.054915132568737,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000058360.5",0,NA,NA,NA,NA,NA
"ENSMUSG00000102677.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102936.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102853.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103218.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000091272.2",0.051986602394071,-0.448226225659451,3.06038250977364,-0.146460850638113,0.883557593266078,0.984745990032404
"ENSMUSG00000046999.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000027778.15",0,NA,NA,NA,NA,NA
"ENSMUSG00000093384.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103007.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093730.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093402.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000093505.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000111756.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000034349.14",0.0986712947682035,-0.0875586077788272,2.90583063116513,-0.0301320410211656,0.975961747286877,0.984745990032404
"ENSMUSG00000065580.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000065606.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000034317.14",0,NA,NA,NA,NA,NA
"ENSMUSG00000027782.10",0.64007897249344,-0.129875516824388,1.39640356533672,-0.0930071506893288,0.925897880420734,0.984745990032404
"ENSMUSG00000089417.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103094.1",0.0692953283746045,0.273112849567121,3.06038250977364,0.0892414097567567,0.928890056417713,0.984745990032404
"ENSMUSG00000094763.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000098207.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027784.10",1.40075572186016,1.24673244054585,0.825643975031595,1.5100121580832,0.131040321878054,0.984745990032404
"ENSMUSG00000091315.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000090941.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000090743.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000098006.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000043300.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000102342.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000087848.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000068969.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000027787.14",0,NA,NA,NA,NA,NA
"ENSMUSG00000043461.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000103549.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000077366.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102525.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027788.6",0,NA,NA,NA,NA,NA
"ENSMUSG00000103020.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103113.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000089507.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102663.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104023.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000074877.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000102666.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103396.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103815.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000098189.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103465.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103279.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103859.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000098869.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103078.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000084752.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027790.14",0,NA,NA,NA,NA,NA
"ENSMUSG00000102753.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000048304.8",0,NA,NA,NA,NA,NA
"ENSMUSG00000103428.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000077050.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102916.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088794.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102820.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102362.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000027792.11",0,NA,NA,NA,NA,NA
"ENSMUSG00000102859.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104096.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000096400.2",0,NA,NA,NA,NA,NA
"ENSMUSG00000104227.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102809.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102420.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000034151.13",0,NA,NA,NA,NA,NA
"ENSMUSG00000034139.4",0,NA,NA,NA,NA,NA
"ENSMUSG00000104301.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000103444.1",0,NA,NA,NA,NA,NA
