"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000027835.11",0.235420419676627,-0.0875655514410631,1.71591855761553,-0.0510312981070299,0.959300580748603,0.984745990032404
"ENSMUSG00000027834.15",0,NA,NA,NA,NA,NA
"ENSMUSG00000102625.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000099370.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102188.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088638.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000100962.3",0,NA,NA,NA,NA,NA
"ENSMUSG00000034109.15",0.221218301579734,-0.0875654672022285,1.7406425974831,-0.0503064025486017,0.959878221735905,0.984745990032404
"ENSMUSG00000103024.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104448.1",4.60985363234758,-0.0775748769486119,0.423573933689704,-0.183143651623852,0.85468530591894,0.984745990032404
"ENSMUSG00000104223.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000034098.14",0,NA,NA,NA,NA,NA
"ENSMUSG00000103920.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103702.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102216.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000088481.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102489.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103849.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102872.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102393.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000105026.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103312.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000102637.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000103817.1",0,NA,NA,NA,NA,NA
"ENSMUSG00000104782.1",0,NA,NA,NA,NA,NA
